	HSK_level	structure
0	1	 Subj. + 在 + Verb + Obj. 
5	1	 Subj. + 正在 + Verb + Obj. 
9	1	 没 + 有 (+ Obj.) 
25	1	 Subj. + 不 + Verb + Obj. 
31	1	 Subj. + 不 + Adj. 
36	1	 Subj. + 都 + [Verb Phrase] 
46	1	 Subj. + 也 + Verb / [Verb Phrase] 
56	1	 Subj. + 也 (+ Adv.) + Adj. 
70	1	 Subj. + 多 + Adj. ? 
80	1	 Subj. + 不太 + Adj. 
85	1	 Subj. + 不太 + Verb 
90	1	 Noun 1 + 和 + Noun 2 
98	1	 Time / Verb + 以后, .... 
108	1	 Time / Verb + 以前 ，⋯⋯ 
118	1	 Subj. + Time + Verb + Obj. / Time + Subj. + Verb + Obj. 
128	1	 Subj. + Number + 岁 
134	1	 Subj. + Number + 岁 + 半 
136	1	 Number + 个 + Noun 
137	1	 Verb + 个 + Noun 
142	1	 x 年 + y 月 + z （日 /  号）
151	1	 x 点 零 y 分 
156	1	 x 点 y 分 
162	1	 Hour + 点 + 差 + Minutes + 分 
166	1	 (Date and/or time of day +) x 点 
172	1	 x 点 + 半 
177	1	 Pronoun + Noun 
187	1	 Subj. + Verb + 了 
190	1	 Subj. + Time + Verb + 了 + Obj. 
192	1	 Time + Subj. + Verb + 了 + Obj. 
196	1	 Subj. + Verb + 了 + [Number + Measure Word] + Obj. 
199	1	 Subj. + 来 / 去 + Place + Verb / [Verb Phrase] + 了 
200	1	 不 + [Verb Phrase] + 了 
203	1	 没(有) + [Noun Phrase] + 了 
206	1	 已经 + 不 + [Verb Phrase] + 了 
210	1	 [New Situation] + 了 
215	1	 Noun 1 + 的 + Noun 2 
224	1	 Topic + 呢 ？ 
225	1	 [Missing Person / Thing] + 呢 ？ 
232	1	 Statement + 吧 
242	1	 Command + 吧 
252	1	 来 / 去 + Place 
261	1	 Subj. + 在 + Place 
271	1	 Place + 有 + Obj. 
281	1	 Subj. + 有 + Obj. 
291	1	 请 + Verb 
296	1	 请 (+ 你) + Verb Phrase 
